Date,CovidNew,CloroxStock
1/22/20,0,156.9149
1/23/20,99,156.3644
1/24/20,287,155.5879
1/27/20,809,157.2393
1/28/20,2651,154.4574
1/29/20,588,153.6063
1/30/20,2068,154.2496
1/31/20,1693,155.6846
2/3/20,3100,154.2298
2/4/20,4011,161.9294
2/5/20,3745,163.6317
2/6/20,3159,163.3645
2/7/20,3532,164.5125
2/10/20,2538,165.9277
2/11/20,2042,163.0577
2/12/20,1886,162.5331
2/13/20,13645,163.0676
2/14/20,6484,163.1269
2/17/20,1936,163.117
2/18/20,1794,163.1368
2/19/20,421,162.4738
2/20/20,547,162.9389
2/21/20,629,165.4626
2/24/20,564,166.1157
2/25/20,853,166.2939
2/26/20,963,166.9569
2/27/20,1364,157.7728
2/28/20,1377,170.2327
3/2/20,1974,166.1355
3/3/20,2577,170.7375
3/4/20,2299,174.0331
3/5/20,2791,171.4698
3/6/20,3943,173.0929
3/9/20,3900,173.1919
3/10/20,5024,167.6497
3/11/20,7663,157.0603
3/12/20,5750,166.0366
3/13/20,14405,172.8851
3/16/20,14659,195.8355
3/17/20,15838,188.9771
3/18/20,19586,189.7985
3/19/20,27918,175.5671
3/20/20,29608,168.3821
3/23/20,42165,166.5809
3/24/20,41154,163.9484
3/25/20,50817,171.3214
3/26/20,62960,171.4006
3/27/20,64400,172.6772
3/30/20,64639,171.4599
3/31/20,76416,172.8554
4/1/20,76214,177.8433
4/2/20,81399,175.7056
4/3/20,83155,179.5059
4/6/20,72672,179.6247
4/7/20,76873,179.1694
4/8/20,83775,182.3067
4/9/20,86625,183.5537
4/10/20,87658,192.3617
4/13/20,69594,193.6186
4/14/20,69927,194.4598
4/15/20,80829,191.5007
4/16/20,96712,190.4418
4/17/20,87724,189.848
4/20/20,73339,191.0024
4/21/20,75250,189.0021
4/22/20,78994,189.7285
4/23/20,89013,188.1363
4/24/20,96974,186.0365
4/27/20,68704,183.041
4/28/20,75404,185.5389
4/29/20,79558,191.7786
4/30/20,83681,198.3069
5/1/20,87046,202.4965
5/4/20,76078,198.8244
5/5/20,79989,201.0137
5/6/20,90022,203.0638
5/7/20,90669,204.8153
5/8/20,92997,204.6859
5/11/20,76298,205.7408
5/12/20,83619,205.2133
5/13/20,84917,208.8158
5/14/20,97106,202.9643
5/15/20,96349,200.745
5/18/20,88284,203.2529
5/19/20,96633,198.4363
5/20/20,103028,197.6302
5/21/20,106438,196.1772
5/22/20,106900,199.0334
5/25/20,87335,203.9694
5/26/20,92742,205.2531
5/27/20,102600,203.223
5/28/20,119314,205.7607
5/29/20,121167,204.9745
6/1/20,95195,203.2628
6/2/20,121577,196.6151
6/3/20,119389,197.7993
6/4/20,126937,201.0933
6/5/20,130863,206.2981
6/8/20,102225,203.9395
6/9/20,124342,204.1286
6/10/20,134025,207.0245
6/11/20,138114,207.7212
6/12/20,129094,210.9754
6/15/20,119638,213.5528
6/16/20,141403,216.5881
6/17/20,141853,215.8517
6/18/20,139928,212.3487
6/19/20,180954,211.0052
6/22/20,137858,213.8812
6/23/20,165338,214.2594
6/24/20,171183,216.5284
6/25/20,177887,218.3097
6/26/20,191346,217.4505
6/29/20,158572,220.0155
6/30/20,173898,219.2827
7/1/20,217689,221.6496
7/2/20,207705,223.3926
7/3/20,203495,227.2846
7/6/20,167343,227.5422
7/7/20,210844,223.5609
7/8/20,211802,228.2948
7/9/20,228227,223.3233
7/10/20,232577,225.71
7/13/20,192779,226.1755
7/14/20,221452,225.5417
7/15/20,231122,224.5414
7/16/20,252544,225.3535
7/17/20,242038,226.7388
7/20/20,206778,225.9427
7/21/20,233565,228.1121
7/22/20,280647,228.55
7/23/20,282756,231
7/24/20,281164,231.26
7/27/20,228693,236.51